,260226_Hpos_000_AnalyticalBlnk.mzML,260226_Hpos_001_AnalyticalBlnk.mzML,260226_Hpos_002_AnalyticalBlnk.mzML,260226_Hpos_005_MethodBlnk.mzML,260226_Hpos_006_MethodBlnk.mzML,260226_Hpos_007_QC_cond.mzML,260226_Hpos_008_QC_cond.mzML,260226_Hpos_009_QC_cond.mzML,260226_Hpos_010_QC_cond.mzML,260226_Hpos_017_QC.mzML,260226_Hpos_018_spelt_t8_A.mzML,260226_Hpos_019_buckwheat_t1_C.mzML,260226_Hpos_020_wheat_t8_H.mzML,260226_Hpos_021_spelt_t1_D.mzML,260226_Hpos_022_buckwheat_t1_E.mzML,260226_Hpos_023_wheat_t1_G.mzML,260226_Hpos_024_dinkel_t8_C.mzML,260226_Hpos_025_wheat_t1_A.mzML,260226_Hpos_026_wheat_t8_G.mzML,260226_Hpos_027_1_t0.mzML,260226_Hpos_028_buckwheat_t8_D.mzML,260226_Hpos_029_wheat_t1_H.mzML,260226_Hpos_030_wheat_t8_A.mzML,260226_Hpos_031_maize_t8_G.mzML,260226_Hpos_032_buckwheat_t1_F.mzML,260226_Hpos_033_buckwheat_t1_D.mzML,260226_Hpos_034_maize_t8_H.mzML,260226_Hpos_035_spelt_t8_D.mzML,260226_Hpos_036_maize_t1_G.mzML,260226_Hpos_037_wheat_t1_B.mzML,260226_Hpos_038_wheat_t8_B.mzML,260226_Hpos_039_maize_t8_E.mzML,260226_Hpos_040_spelt_t1_A.mzML,260226_Hpos_041_dinkel_t1_B.mzML,260226_Hpos_042_maize_t1_F.mzML,260226_Hpos_043_maize_t1_H.mzML,260226_Hpos_044_buckwheat_t8_E.mzML,260226_Hpos_045_dinkel_t8_B.mzML,260226_Hpos_046_buckwheat_t8_C.mzML,260226_Hpos_047_dinkel_t1_C.mzML,260226_Hpos_048_buckwheat_t8_F.mzML,260226_Hpos_049_maize_t8_F.mzML,260226_Hpos_050_maize_t1_E.mzML,260226_Hpos_051_QC.mzML,260226_Hpos_052_spelt_t1_A.mzML,260226_Hpos_053_1_t0.mzML,260226_Hpos_054_buckwheat_t1_F.mzML,260226_Hpos_055_dinkel_t1_B.mzML,260226_Hpos_056_wheat_t1_H.mzML,260226_Hpos_057_buckwheat_t1_C.mzML,260226_Hpos_058_maize_t1_E.mzML,260226_Hpos_059_wheat_t1_A.mzML,260226_Hpos_060_wheat_t1_G.mzML,260226_Hpos_061_maize_t8_E.mzML,260226_Hpos_062_buckwheat_t1_E.mzML,260226_Hpos_063_dinkel_t8_C.mzML,260226_Hpos_064_dinkel_t8_B.mzML,260226_Hpos_065_maize_t8_H.mzML,260226_Hpos_066_maize_t8_G.mzML,260226_Hpos_067_maize_t1_G.mzML,260226_Hpos_068_maize_t8_F.mzML,260226_Hpos_069_dinkel_t1_C.mzML,260226_Hpos_070_buckwheat_t8_C.mzML,260226_Hpos_071_spelt_t8_A.mzML,260226_Hpos_072_maize_t1_F.mzML,260226_Hpos_073_buckwheat_t8_D.mzML,260226_Hpos_074_buckwheat_t8_E.mzML,260226_Hpos_075_spelt_t8_D.mzML,260226_Hpos_076_spelt_t1_D.mzML,260226_Hpos_077_wheat_t8_H.mzML,260226_Hpos_078_buckwheat_t1_D.mzML,260226_Hpos_079_wheat_t1_B.mzML,260226_Hpos_080_wheat_t8_G.mzML,260226_Hpos_081_wheat_t8_B.mzML,260226_Hpos_082_wheat_t8_A.mzML,260226_Hpos_083_maize_t1_H.mzML,260226_Hpos_084_buckwheat_t8_F.mzML,260226_Hpos_085_QC.mzML,260226_Hpos_086_spelt_t8_A.mzML,260226_Hpos_087_dinkel_t8_C.mzML,260226_Hpos_088_wheat_t8_A.mzML,260226_Hpos_089_maize_t8_E.mzML,260226_Hpos_090_spelt_t1_D.mzML,260226_Hpos_091_buckwheat_t8_F.mzML,260226_Hpos_092_dinkel_t1_B.mzML,260226_Hpos_093_maize_t1_G.mzML,260226_Hpos_094_wheat_t1_B.mzML,260226_Hpos_095_1_t0.mzML,260226_Hpos_096_buckwheat_t8_C.mzML,260226_Hpos_097_buckwheat_t1_C.mzML,260226_Hpos_098_maize_t1_H.mzML,260226_Hpos_099_spelt_t1_A.mzML,260226_Hpos_100_buckwheat_t8_E.mzML,260226_Hpos_101_buckwheat_t8_D.mzML,260226_Hpos_102_wheat_t8_G.mzML,260226_Hpos_103_dinkel_t1_C.mzML,260226_Hpos_104_buckwheat_t1_E.mzML,260226_Hpos_105_dinkel_t8_B.mzML,260226_Hpos_106_buckwheat_t1_D.mzML,260226_Hpos_107_spelt_t8_D.mzML,260226_Hpos_108_maize_t1_E.mzML,260226_Hpos_109_wheat_t8_H.mzML,260226_Hpos_110_maize_t8_F.mzML,260226_Hpos_111_maize_t1_F.mzML,260226_Hpos_112_wheat_t1_H.mzML,260226_Hpos_113_wheat_t1_G.mzML,260226_Hpos_114_maize_t8_G.mzML,260226_Hpos_115_wheat_t8_B.mzML,260226_Hpos_116_maize_t8_H.mzML,260226_Hpos_117_buckwheat_t1_F.mzML,260226_Hpos_118_wheat_t1_A.mzML,260226_Hpos_119_QC.mzML,InchiKey
1425 | 358.1613mz | 0.93min,,,,,,2292,2036,1936,1868,2102,,41660,,,33640,,,,,,,,,,41180,36420,,,,,,,,,,,,,,7979,,,,1072,,,36230,,,35940,,,,,33700,,,,,,,20080,,,,,,,,,33870,,,,,,,1791,,,,,,,,,,,,26430,,,,,,12130,27610,,25940,,,,,,,,,,,27560,,2387,
1426 | Fortimicin | [M + Na]+,,,,,,,,,,,,,,,,58060,,,,,,,,,,,,,15380,,,,,,,,,,,,,,,,,,,,,,,,57670,,,,,,,14320,,,,,,,,,,,,,,,,,,,,,,,,,,14780,,,,,,,,,,,,,,,,,,,,58480,,,,,,,BIDUPMYXGFNAEJ
1427 | 2-HYDROXYPHENYLACETATE | [M - CH2O2 + H]+,,,,267.6,599.9,16610,15980,16930,13660,14820,215.3,349700,117.4,,300300,403.8,,,,,4463,140.7,178.5,372.2,57180,98340,327.2,114.2,922.2,157.1,159.8,321.9,203.9,,1002,185.6,1030,,7681,138700,8515,264.7,275.7,11170,721.8,97.35,71580,147.3,503,125600,618.1,110.8,157.3,916.8,124800,187.4,,346.9,,365,273.6,159600,3169,496.5,1482,1696,2326,328.1,1039,246,182700,350.2,,,,2730,8916,12680,252.8,,289.9,907.6,146.4,4409,890.7,1005,557.4,94.06,3537,87050,1135,473,1875,2820,153.4,63920,181800,212.3,101400,165.1,229,271.9,383.2,352.1,488.4,602.3,,113.4,315.3,95940,320.5,20140,CCVYRRGZDBSHFU
1429 | 286.3107mz | 0.91min,,,,16290,17920,210.1,255.6,2228,1641,216.9,3269,,2753,,,,504.1,,4976,,506.6,,11480,36160,,,11660,205.7,,,252.8,4623,,,,,384.1,828.4,452.7,,240.9,967.5,,879.7,,,,,,,,,,9181,,1461,574,10710,35850,,949.3,,921,4624,,307.4,566,1015,,3665,,,24460,242.7,4825,,,451.4,4056,2640,10770,4518,,,,,,,1053,,,274.3,606.5,385.2,24080,173.4,,345.1,,497.1,,2614,2240,,,,34220,953.1,5569,,,235.2,
1430 | 168.0656mz | 0.77min,,,,,,17890,4295,10880,17880,8261,2592,31990,4573,17400,18310,24880,4757,4812,7102,18410,2752,11640,3552,22610,6237,5855,48490,5629,11910,10240,8650,42770,10940,6328,12600,17910,3708,5089,7820,8362,5393,45220,11400,15150,12510,10940,4708,9075,13210,4081,11910,9975,27130,35720,7698,4896,4835,42540,16620,10130,44970,10120,8198,4022,11100,5621,5181,5486,10720,5943,12050,12390,5800,7407,2958,10850,5057,15480,4043,4013,1256,33710,12060,5354,12850,7667,11330,19410,6224,10470,10240,10490,4763,5231,6290,8745,3979,5571,13170,4406,10180,3554,38880,10210,13810,25420,19100,7484,47040,6164,13650,14970,
1431 | CAR 23:3 | [M + H]+,,,,115100,37960,12930,13100,12350,13510,12580,15450,,19870,,,,8458,71.99,184200,88.75,26780,,11290,315100,,,15520,10790,,,7310,10650,,,,,6524,13410,32470,,6179,23580,,12660,,162.3,,,,,,862.4,,10280,,7980,12620,15220,189900,,25430,236.1,31330,15560,,22850,6466,8960,,17070,,,189400,8630,8711,,8044,12560,15980,7587,10030,10190,184.5,6751,1123,,2164,266,26750,,3067,1305,6663,30060,181800,2809,302.3,12370,,10110,790.7,23980,29670,442.6,151.4,,184500,6359,15410,,3040,12370,IRZTZUFPQVMARN
1432 | Adenosine | [M + H]+,,,,,,392300,372800,377600,378900,374700,329300,1749000,49290,129800,2656000,114000,199500,143800,93600,38870,322100,156700,18940,58340,1413000,2152000,45920,66830,121200,445400,247200,62300,131900,321900,112300,90430,122700,75380,165800,442200,188000,59320,167200,387800,140800,57560,1601000,399400,170400,2009000,177800,184500,116300,62590,2658000,184800,78630,42370,57500,119000,58620,573200,158300,309000,123400,290100,121600,64070,169900,48810,2081000,455200,90650,247200,18610,99860,197200,364600,313500,188800,17930,62690,197200,186500,512500,114200,515700,75570,150600,1806000,107000,140300,121600,299200,87220,331000,2377000,75450,1732000,64730,201500,49080,55870,129100,179900,122600,56360,240300,45510,1502000,232700,363200,OIRDTQYFTABQOQ
1433 | 414.0458mz | 0.95min,,,,,,,,,,,,721.2,,2497,219.3,,,3465,,,,1950,,,2891,479.1,,,440.4,4707,,,2801,1555,2177,849.4,,,,1438,,,4519,,649,,,2728,1364,220.1,1941,708.2,,,275.2,,,,,134.6,,1408,,,2881,,,,1757,,560,2196,,,,1350,,,,,,,1994,,1853,83.6,1070,,,,313.9,,,,,61.88,,,,,1012,,,1929,1281,74.11,,,,279.2,517.7,,
1434 | 148.0632mz | 0.91min,,,,,,,,,,,,,,,,123.3,,,,4293,,,,,,,,,353.2,128.8,,,675.6,,,,,,,,,,,,146,8548,,,135.5,,,253.7,151.3,,,,,,,135.9,,,,,,,,,,161.4,,,,,,124.2,,,,,,,,,,745.6,163.4,6325,,,,170.5,,,,,,,,,,140.1,,,140.4,135.6,,,,,309.2,,
1435 | 716.5219mz | 0.96min,,,,,,2031,4841,955.3,1375,1711,11430,,1610,,,,13430,,,,1892,,5310,,,,,2244,,,1337,,,,,,17140,13200,687.9,3082,927.5,,,1159,,,,,,,,,,,,14980,12610,209.3,,,,319,889.8,8999,,1822,21120,1879,,5661,,,,6443,6806,,776.1,1930,2757,12930,3603,,264.1,1079,148.4,,136.6,945.4,5434,2138,,2792,15820,1300,,2036,,7485,2232,8810,1174,8958,,137.5,264.9,,,1356,324.8,455.6,224.4,1389,
1436 | 372.1769mz | 0.94min,,,,,,,,,,,,23070,,,11360,,,,,,,,,,21830,17210,,,,,,,,,,,,,,1484,,,,,,,18970,,,18080,,,,,17250,,,,,,,7096,,,,,,,,,16500,,,,,,,,,,,,,,,,,,,10940,,,,,,3793,13950,,11230,,,,,,,,,,,13190,,,
1437 | 493.4081mz | 0.75min,,,,12000,11580,5285,5159,4888,4823,5976,4546,,6390,,,,2659,,79960,,5522,,2572,101700,,,5864,2863,,,2549,4012,,,,,2194,4242,6524,,2000,6349,,4928,,,,,,,,,,4197,,1035,3697,5882,90930,,6495,,6531,4666,,6065,2083,2583,,6164,,,62650,3074,2421,,1896,5557,4184,2313,1266,1528,,2207,,,,,11380,,,,2863,5376,69310,1068,,1911,,2544,,5208,6147,,,,95060,2669,6142,,,5220,
1438 | 151.0754mz | 0.92min,,,,960.1,1457,361.6,527.9,1034,309.2,583.5,2209,385.1,1168,2533,253.5,148.4,3108,6087,179.6,1990,296.5,8058,1398,,1225,557.7,1557,189.2,114.3,8940,149.6,3901,8143,4328,8162,7182,319.7,267,1635,8336,4706,2292,7528,568.9,6630,3421,491.5,2998,8124,496.6,7509,7707,326.3,4155,281.3,3185,657,1779,,97.68,1781,7739,1940,1537,7635,268.3,622.9,524.8,5253,2595,862,8063,164.7,787.2,2622,6905,4579,984.7,442.7,3394,2020,3836,5202,5204,4969,139.1,7039,3369,1553,847.9,5601,5099,439,296.1,254.7,3234,340.1,345.7,315.7,1145,6091,2911,2574,5742,6499,289.4,611.5,,1586,870.1,7286,1589,
1440 | 3-(1H-pyrrol-3-yl)prop-2-enoic acid | [M + H]+,,,,,,4987,2557,5336,5381,6071,166.1,46450,16940,21390,47100,7496,6569,15000,7440,27510,,31820,12940,,48610,49300,1603,6810,9478,22380,4477,722.9,19700,15090,13510,21180,165.8,7855,462.6,13930,255.7,1323,31530,4226,12290,40450,34250,13670,36000,31150,25140,17040,8482,723.1,36950,5708,8691,1082,,16030,2013,17510,224,178,9039,,502.6,6493,16980,17710,35400,30500,7557,4533,11850,19250,227.8,2837,198.6,6810,12750,1147,5245,230.4,9268,15570,22830,50170,451.7,26950,21440,26500,296.6,189.5,8320,10220,33580,7779,34820,6812,22610,18880,1332,22730,13090,5606,,3024,716.6,25750,27460,3073,GDACOBAFWPGBOL
1441 | 494.4113mz | 0.76min,,,,2750,529.6,,,,,,,,172.5,,,,,,12290,,221.9,,,15790,,,,,,,,,,,,,,,583.5,,,410.7,,,,,,,,,,,,,,,,,14900,,,,799,,,268.9,,,,143.7,,,8549,,,,,,,,,,,,,,,,1186,,,,,258.3,10630,,,,,,,155.2,240.2,,,,10000,,,,,,
1442 | 304.3001mz | 0.73min,322.4,140.3,219.4,351,1116,1794,1226,801.4,1627,1571,8400,,189.7,,,950.4,2420,,10440,,,,974,6572,,,547.1,110.3,,,,,,,,,338.2,,3050,,,2745,,1425,,,,,,,,,163.4,,,1268,,163.5,5936,,2009,,2955,8677,,,258.5,221.5,,182.6,,,9549,,1085,,,1430,7816,1917,1091,,,,,,,,3543,,,,258.5,,9554,,,,,291.2,,384.2,2035,,,484,5425,,567.8,,,709.6,
1443 | 204.1233mz | 0.88min,,,,2423,2833,2771,2737,5421,2404,3012,6133,1358,3993,8647,1807,4494,5035,10030,3034,3217,14280,14540,4014,839.7,481.5,1033,2062,5639,4401,14650,7063,5504,13100,5135,12730,10170,17170,6328,9915,10030,3861,2681,10930,2755,13020,9569,1381,8853,13350,868.2,11390,12670,4479,4963,821.3,4667,6750,1721,550.9,4456,3263,9242,10440,2916,10660,9784,18250,5436,9652,3702,1755,13090,3169,8219,5693,9792,2132,2467,3223,4726,3755,4910,5755,2307,6019,4266,7898,6316,15250,899.7,6064,5822,17660,22620,2180,4911,653.2,5240,874.8,5839,6865,4105,2652,6299,12500,3275,839.3,7875,1816,814.6,8461,4625,
1444 | 352.0797mz | 0.95min,,,,,,,,,,,,749.2,,,7571,,,,,,,,,,2335,12300,,,,,,,,,,,,,,482.8,,,,1362,,,12180,,,14900,,,,,606.8,,,,,,,1479,,,,,,,,,1443,,,,,,,,,,,,,,,,,,,2237,,,,,,4712,,,2703,,,,,,,,,,,286,,330.9,
1447 | 516.3009mz | 1.05min,,,,,,,,,,,,,,,,10420,,,,,,,,,,,,,12040,,,,,,,,,,,,,,,,,,,,,,,,10600,,,,,,,12300,,,,,,,,,,,,,,,,,,,,,,,,,,9986,,,,,,,,,,,,,,,,,,,,11210,,,,,,,
1448 | 292.2273mz | 0.66min,,,,24400,48380,33310,33240,29270,25700,13670,44230,477.1,37230,1376,2175,,60910,1050,30430,727.6,32450,889.7,39780,106100,510.1,1697,32300,23160,,1072,31170,68200,758.2,1193,1156,607.4,37770,29260,16260,4993,34050,29400,2234,34370,1242,924.1,2312,1449,2123,2522,6168,3462,,39920,3546,45600,27250,35580,89830,,38210,16970,24270,41240,2284,28770,2583,20330,4000,47160,4894,2663,41470,36160,38240,2780,56200,43420,44820,38350,40130,67920,7520,48100,8991,,3358,2968,20090,17910,13010,21600,19120,17960,31270,27250,17240,8332,14830,23130,18200,40120,37450,20780,11650,,97770,35810,34420,15580,4683,32370,
1449 | 182.0674mz | 0.95min,,,,,,1016,495.1,283.9,303.6,553.6,234.7,617.3,934.5,1423,,2379,,3762,,2174,,6951,1318,,193.7,287,,420.9,3115,8524,453.2,,7274,1341,3495,4940,,265.7,,990.3,,,1298,777.4,7066,5772,264.8,5664,8651,228.4,5528,8110,2070,,,,230.1,,,2989,,2778,,,5198,,,187.4,6628,940.8,,7948,,871.1,587.3,5409,,246.3,,,526.7,,6433,,6317,3134,7486,5943,,,4530,5771,,,,1151,273.9,,,,4731,584.3,,4829,7530,2037,,477,,531.7,8321,289,
1451 | SPB 18:0;3O | [M + H]+,,,,71420,68790,246900,245600,246700,242300,247600,443800,3609,347600,36550,103700,20470,829100,26550,755800,30160,180700,75190,346500,1405000,30130,11950,318400,378300,35210,47220,401000,268700,81810,48200,22750,30850,163100,442200,203400,321100,123700,321500,26400,245000,151100,67720,52780,88290,89360,50160,44010,83280,20600,270200,68840,792600,453300,319400,1407000,34150,315700,123800,206300,443000,49570,187800,162500,375300,125900,356000,42570,123900,774400,415000,357300,76130,124600,246500,447700,829400,349300,282200,223900,124000,172300,33390,194600,128700,199200,110000,131700,297800,158200,189000,793900,236300,95700,455600,96720,367400,120400,345000,319500,119200,160600,20250,1434000,410600,318800,86580,160500,248000,AERBNCYCJBRYDG
1452 | 312.3263mz | 0.93min,,,,15970,15240,245,718.2,506.9,761.2,603.1,4727,,2850,,,,440.3,,1355,,258.4,,4520,,,,5319,229.1,,,295.3,4285,,,,,2096,260,1138,,,1067,,702.2,,,,,,,,,,3003,,631.5,217.9,6040,,,1045,,371.6,5565,,289.3,2230,336.2,,2397,,,1682,1411,3976,,,271.4,5896,1092,4942,4587,,,,,,,,,,,992.3,,349.3,,,1142,,229.6,,2501,1286,,,,,867.3,6634,,,225,
1453 | 160.0969mz | 0.82min,,,,,,348,,,,338.3,,,,539.9,,76.25,336.2,2036,2508,107.9,1403,5069,,2504,136.3,316.8,390.4,123.6,,3378,142.7,125.6,857.2,570.3,261,155.4,1253,,306.4,111.7,,144.2,115.2,,425.4,145.7,,128.8,5163,197.4,126.7,2988,293.7,313,199.3,,,,327.2,,335.6,62.01,338.8,140,157.9,1105,903.2,140.6,126.9,,,3367,2224,,,273.7,,,,159.6,,,151.5,400.5,158.2,99.77,2196,253.7,629.7,,111.5,484.2,374,457.9,1019,143.1,,,,,,,,164.4,3865,110.3,654.1,,336.6,,3104,,
1454 | 334.2495mz | 0.93min,,,,6969,6601,205.8,164.6,146.7,150.2,,2131,,204.9,,,,992.5,,,,,146.5,420.7,1218,,,179.2,,,376.3,143.9,1613,121,,108.8,96.97,479.2,,,134.5,262,1496,117.2,330.3,116.6,,,,,,99.2,94.99,,1051,,1935,,316.3,3136,,719.2,296.5,,1466,115.5,,2052,,,206.4,,402.7,,172,244.3,,286.1,328.5,1303,270.8,350.7,2101,,546.8,,,345.7,,,,263.5,326.9,844.8,,,1536,,,,,145.1,198.3,878.5,140.2,266.8,,1122,155.8,216.1,,286.5,178.5,
1455 | 449.1780mz | 0.96min,,,,,,,270.2,256.3,227.9,,,18590,,,44620,,,,,,,,,,24960,37410,,,,,,,,,,,,,,425.5,,,,209,,,29280,,,22130,,,,,47750,,,,,,,1401,,,,,,,,,34310,,,,,,,,,,,,,,,,,,,13660,,,,,,,36500,,19530,,,,,,,,,,,20910,,,
1456 | 290.2961mz | 1.00min,,,,670.6,3248,,,,,,,,,,,,277.7,,10590,,,,,15310,,,,195.9,,,,,,,,,,,,,,151.7,,,,,,,,,,,,207.2,,194.7,282.8,292.1,9470,,202.4,,,,,,,187.6,,,,,8484,,217.6,,,,,297.6,,389.4,,,,,,,,,,,,,10810,,,474.4,,,,201.7,,,,,13810,,167.4,,,,
1457 | 360.3112mz | 0.89min,,,,,,,,,,,908.9,,,,,,2498,,,,,,,,,,,,,,,,,,,,,,1485,,,,,,,,,,,,,,,,,1354,,,,,,,1899,1908,,,274.9,,,,,,404.3,276.6,,,,,2639,3165,,,,,,,,,499.9,,,,587.7,,184.9,,,,,,,,,,,,,110.5,,,,,
1458 | 232.2545mz | 0.98min,,,,4788,3623,,,201.2,202.7,201.6,164.5,,,,,,321.3,,10230,,793.9,,493.3,14960,,,1578,660.5,,,,268.2,,,,,,223.9,538.1,,,873.3,,215.1,,,,,,,,,,987.2,,763.2,182.8,909.3,15450,,675.7,,700.1,212,,490,,596.3,,,,,10390,242.3,297.9,,,,230.7,299.1,1052,746.8,,,,,,,,,,,,547.6,11240,,,222.4,,239,,439.5,849.8,,,,14640,202.5,638.9,,,209.7,
1459 | 500.3332mz | 0.93min,,,,137.4,904.6,271.1,243.6,308.3,241.9,,4015,,2233,,,,3675,,,,,,1204,,,,799.3,,,,,4666,,,,,1282,272.2,259.9,329.4,1134,1840,,248.9,,,,,,,,,,5334,,3078,181.6,434.3,,,2084,4528,229.6,3554,,,3688,,,902,,,,233.9,1942,,1358,258,2481,3250,1374,3814,104.9,1490,,,323,,,299.3,423.7,296.7,1897,,,1332,,308.8,252.3,,221.9,1266,2029,866.1,107.2,,,,588.6,221.6,2989,203.7,
1460 | 283.2828mz | 0.68min,,,,9440,25250,14050,2344,985.2,7991,1316,7570,,6835,,,,7115,,43110,252.4,4417,,3970,37750,,,26060,5330,,,6455,23710,,330.6,,,11940,5969,18890,828.8,12640,8373,,16240,106.1,261.9,242,368.4,311.4,194.8,,,,10850,,11010,4611,26230,16360,,12680,1101,13890,10330,475.3,12790,5906,6537,98.26,11250,,,43120,6925,16990,386,6402,8151,11020,8962,8469,17530,806.9,16580,1906,,317.8,2335,9876,1732,3574,2484,11300,5150,34350,4109,937.9,9216,1959,3657,3610,19200,19270,4962,2037,,19030,2571,18780,1488,1968,12780,
1461 | 151.0616mz | 0.78min,,,,,,12740,12630,12810,13320,12980,11280,10560,7537,2265,18210,9791,8074,2967,4447,5444,40100,3665,6856,3150,14070,3296,9890,12380,9350,9253,9508,7226,11830,3658,10570,10120,35040,13160,35960,4544,24450,8552,9427,12250,12240,11980,17000,5316,9759,12590,8786,8989,9083,7509,15790,7150,11440,10360,3794,9367,9018,9489,35450,10060,5745,35460,36100,11250,8494,7706,10600,8825,4466,9335,6673,10150,24580,12080,10800,8026,6270,7108,8203,24480,9735,9707,7054,12460,35430,11690,9269,10390,34560,38190,4473,8072,14970,12050,7392,11460,5044,7536,8578,8535,6943,9313,3977,9102,10500,13910,7686,11980,
1463 | 446.2176mz | 1.01min,,,,,,,,,,,,,,,,,,,,,2175,,,,,,,,,,,,,,,,1689,,1164,,2434,,,,,,,,,,,,,,,,,,,,,,2044,,,748.5,1656,,,,,,,,,,2443,,,,,,,2056,,,,,2050,,,,3090,2059,,,,,,,,,,,,,,,,151.8,,,
1464 | 314.3056mz | 0.93min,,,,276.5,,537.9,2188,617.6,1306,1669,7286,,11640,,,,10600,,719.8,,6161,,6877,5984,,,355.1,17320,,,12730,317.6,,,,,3830,10940,3668,724,2162,1404,,2117,,,,,,,,,,1043,,11010,11290,1418,4413,,1682,,3109,6644,,6461,5599,17230,,11760,,,308.7,14520,6843,,3010,1716,7708,10670,6552,248.5,799.1,3340,,,,1984,3672,,123.3,1503,4428,6263,313.3,257.1,,10430,,16550,159.4,10780,1361,,108.5,,5834,13660,594.1,,,1119,
1465 | 235.1111mz | 0.96min,,,,,,,,,,,,,7033,,,372.2,214.4,,,,,,6836,,,,,1191,646.4,,255.9,,,,,,,315.1,,,,,,,,115.7,,,,,,,145.7,,,423.8,660.2,,,173.3,,,,,98.09,,,825.7,,6557,,,,219.1,3665,,,175.3,,449.2,2530,,69.62,,,139.9,,810.3,,,101,146.6,,,,,,1122,,497.3,,6013,,134.4,,131.5,,300.2,,,,,
1466 | 181.0530mz | 0.95min,,,,,,,,,,,,,,691.2,,1422,,5829,,7313,,5301,,,,,,,2622,2603,,,7276,4699,1579,3518,,,,303.8,,,4128,,5369,6610,,1599,5173,,3544,4611,936.4,,,,,,,2564,,417,,,1605,,,,3707,,,4275,,,,2522,,,,,,,2469,,3951,2130,1852,4397,,,3265,1743,,,,,,,,,2278,,,2970,3608,744.6,,,,,4125,,
1467 | DEOXYADENOSINE | [M + H]+,,,,,,17540,16650,17010,16960,15710,12550,1261,15070,29710,5509,3163,8814,19560,,14490,34950,37510,8596,,2389,37490,,11540,5325,34250,12870,,40680,44810,20080,9916,20120,15320,14560,19490,11430,670.4,16730,16130,41890,21190,3321,56700,38820,12850,17590,25760,2438,,9908,8242,16620,159.8,,4007,505.2,24600,14300,11360,20790,31170,19550,10290,39810,15320,37290,32790,,12550,8134,10560,11780,15700,11940,8066,7759,,45180,11330,72460,5179,36930,27580,13820,13460,10880,41730,21400,31700,,12720,9452,15740,32900,10710,18410,15330,1323,21790,39890,1032,,12650,,8896,32630,14920,OLXZPDWKRNYJJZ
1468 | 358.2704mz | 0.98min,,,,,,,121.5,,171.7,153.1,,,5812,,,,1825,,808.4,,,,4301,,,,,3448,108,,,,,,,,,5596,,,,,,,,,,,,,,,107.4,,,492.5,1958,,,107.7,,,,,,,,9723,,5330,,,270.3,,3971,,217.7,,,1626,3557,,,,,97.54,,,,,,,,,276.4,,,5348,,4781,,11010,,,,104.3,,,,,,,
1470 | NCGC00380381-01_C24H27NO9_ | [M - C8H10O2 + H]+,,,,,,63130,60500,64090,63920,60530,,193100,,,252300,10620,,,,,231100,,,4897,193800,312400,19420,,12060,,,18000,,,711.1,3148,176300,,229200,88690,247400,14960,1818,57720,,,243600,,,252600,8609,,10750,16150,272100,,,18900,9021,12940,16040,136000,235900,,11230,218500,175100,,,,324400,,,,,6243,242600,56020,,,,17810,,232200,,11440,,,234500,254700,11680,,171600,224000,,63460,278700,,295000,,6808,,16620,10260,,10950,9724,,17720,267100,,57400,YOTVUKXKJYRTAR
1471 | 245.2671mz | 1.00min,,,,20820,17930,920.3,321.6,1261,1065,574.8,1090,,829.7,,,,4172,,24810,,3455,,3780,43170,,,4122,2090,,,1886,5039,,,,,329.1,247.1,345.3,,356.8,3435,,862.2,,,,,,,,,,2470,,4209,1178,4705,43640,,3296,,395,2255,,1111,379.2,3051,,2281,,,32500,725.4,3897,,355.4,1281,2043,4216,4085,4499,,1900,,,,,388.4,,,,398.1,2777,70710,696.7,,585.4,,3712,,1151,2863,,146.8,,44370,2512,5255,,201.4,621.9,
1472 | 384.1445mz | 0.85min,,,,,,,,,,,,,,,,,,,,,469.1,,,,,,,,,,,,,,,,1242,,1016,,336.2,,,,,,,,,,,,,,,,,,,,,,596.4,,,199.8,4635,,,,,,,,,,336.9,,,,,,,805.5,,,,,384.1,,,,4076,224.4,,,,,,,,,,,,,,,,,,,
1473 | 186.2217mz | 0.95min,1347,1001,2288,7059,9579,,174.3,,151.1,,125.2,,,,,98.57,238.4,,10060,,,,,9318,,,239.4,,,,,174.4,,,,,,,,,,157.8,,,,,,,,,,,,200.6,,323.2,,189,8690,,172.1,937,,,,,,,,,,,10650,,,,195.9,,,,,461.7,,,,57.96,,,,,,,,,7770,4484,,,,,,178.7,315.8,,,116.3,8822,,523.2,,,,
1474 | 304.2848mz | 0.99min,,,,,,,,,,,,,420.1,,,,,,57170,,,,,4871,,,342.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.7,1351,,,,,,,,,,,143.8,,,57370,,,,,,,226.2,,,,,,,,226.2,,,,,,,56030,,,,,,,214,,,,,3203,,708.9,,,,
1475 | 288.2536mz | 1.15min,,,,253.6,4432,5753,12230,11470,9071,10760,19490,,17010,819.6,,1178,21990,75.69,137700,660.8,25470,698.5,20390,273200,,,18980,13770,1364,774.9,30260,15540,1601,533.8,57,55.82,6464,10590,13260,984.9,2759,19170,458.3,9066,1838,4524,61.11,2690,2513,107.7,2531,1284,2500,16880,274.1,28540,22750,19190,289200,618.2,18430,17850,13340,20370,172,26220,6314,11870,3803,15070,280.9,4784,107900,27470,26120,605.2,1327,11530,19240,17760,23910,16700,16590,1560,15030,818,18350,23510,17350,10540,14970,22110,2418,22290,104300,8872,6191,11290,11320,14330,20070,14370,26830,19450,12710,5986,30510,30780,19840,13300,16300,13270,
